# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.522301612629852696e-02,3.162367403347560052e-12,1.116315693381688716e-12
5.523772853195531990e-02,3.327454712530818352e-12,1.174591513523378737e-12
5.525244877900065826e-02,3.229301373095680756e-12,1.139943384702775288e-12
5.526717687370515109e-02,3.343104266967857145e-12,1.180115806239653605e-12
5.528191282234608261e-02,3.230437392861676307e-12,1.140344399680171587e-12
5.529665663120742619e-02,3.262450879902889522e-12,1.151645160605719925e-12
5.531140830657989976e-02,3.192888890113876502e-12,1.127089778210198361e-12
5.532616785476091037e-02,3.236643107533549046e-12,1.142535016959342845e-12
5.534093528205454721e-02,3.216671717545112733e-12,1.135485116293424689e-12
5.535571059477171346e-02,3.302955624708644403e-12,1.165943335522151465e-12
5.537049379923000142e-02,3.281380610052601828e-12,1.158327355348568479e-12
5.538528490175377572e-02,3.264049467483613450e-12,1.152209462021715413e-12
5.540008390867413174e-02,3.264164098898808985e-12,1.152249926911279585e-12
5.541489082632895802e-02,3.264496226097935160e-12,1.152367167812570962e-12
5.542970566106293628e-02,3.183046779029638232e-12,1.123615512997462146e-12
5.544452841922749287e-02,3.229416878138763895e-12,1.139984157982983502e-12
5.545935910718086809e-02,3.218584969748735816e-12,1.136160494321303680e-12
5.547419773128812320e-02,3.104484067945056976e-12,1.095882875984605054e-12
5.548904429792109183e-02,3.184385807019885155e-12,1.124088189878019329e-12
5.550389881345851179e-02,3.265782328486677731e-12,1.152821161955797142e-12
5.551876128428585161e-02,3.280890363854551445e-12,1.158154298440656630e-12
5.553363171679548405e-02,3.284277258653753789e-12,1.159349872304774985e-12
5.554851011738663052e-02,3.201678310564465202e-12,1.130192443629256118e-12
5.556339649246534035e-02,3.249528912268386567e-12,1.147083706030740304e-12
5.557829084844454620e-02,3.342279711396083859e-12,1.179824738122817548e-12
5.559319319174409885e-02,3.363121118194269077e-12,1.187181754722576870e-12
5.560810352879066304e-02,3.240281925683443343e-12,1.143819519766255392e-12
5.562302186601785631e-02,3.196237890356287484e-12,1.128271975295769502e-12
5.563794820986620038e-02,3.271187014951620165e-12,1.154729016277921774e-12
5.565288256678305873e-02,3.306044599326195704e-12,1.167033743562147067e-12
5.566782494322282393e-02,3.353511724836184414e-12,1.183789638867172982e-12
5.568277534564676501e-02,3.290407123069858322e-12,1.161513714443659857e-12
5.569773378052310375e-02,3.304420711741683160e-12,1.166460511244814159e-12
5.571270025432700779e-02,3.358734363839714586e-12,1.185633230435419266e-12
